index,coefficient
0,0
1,3.901616250058381e-06
2,-3.2018015260370353e-20
3,-3.651252685646031e-05
4,-0.00010499172604125445
5,-0.00015992057952862233
6,-0.0001270008216845327
7,4.597792603641005e-05
8,0.00033142754694166077
9,0.0005991037896779189
10,0.000658069872589644
11,0.0003583763377864473
12,-0.00029379124040540555
13,-0.0010764803113933153
14,-0.001602888117343383
15,-0.001487060986879182
16,-0.000562346536405459
17,0.0009564639307262679
18,0.0024732393544741305
19,0.0032162144374454547
20,0.0025920164780075133
21,0.0005381775159984962
22,-0.002309433289570353
23,-0.004763222312574226
24,-0.005541326598412494
25,-0.0038753752700222983
26,4.3154285500110136e-18
27,0.004740313678140574
28,0.008296940048186886
29,0.00874293581484299
30,0.005208251383777025
31,-0.0014958097134235783
32,-0.008913975663785271
33,-0.013753153872760363
34,-0.013229990542663906
35,-0.006446838780832635
36,0.00481765823869635
37,0.016361122887474426
38,0.022930446497817603
39,0.020322624524639298
40,0.007451531157499226
41,-0.012480786027300074
42,-0.03232593637937785
43,-0.04293710121946625
44,-0.03619490211462608
45,-0.008105954442953525
46,0.03916250139259673
47,0.09715548483648524
48,0.15312100373461887
49,0.1935775843048622
50,0.20832686353747043
51,0.1935775843048622
52,0.15312100373461887
53,0.09715548483648523
54,0.03916250139259673
55,-0.008105954442953525
56,-0.03619490211462608
57,-0.04293710121946625
58,-0.03232593637937785
59,-0.012480786027300078
60,0.007451531157499228
61,0.020322624524639298
62,0.022930446497817607
63,0.016361122887474426
64,0.004817658238696349
65,-0.006446838780832637
66,-0.0132299905426639
67,-0.013753153872760361
68,-0.008913975663785267
69,-0.0014958097134235785
70,0.005208251383777026
71,0.008742935814842987
72,0.008296940048186886
73,0.004740313678140576
74,4.315428550011013e-18
75,-0.0038753752700222996
76,-0.005541326598412498
77,-0.004763222312574227
78,-0.0023094332895703543
79,0.000538177515998496
80,0.002592016478007514
81,0.0032162144374454577
82,0.0024732393544741344
83,0.0009564639307262672
84,-0.0005623465364054587
85,-0.0014870609868791833
86,-0.001602888117343385
87,-0.0010764803113933177
88,-0.00029379124040540593
89,0.0003583763377864471
90,0.0006580698725896444
91,0.0005991037896779202
92,0.00033142754694166196
93,4.597792603641015e-05
94,-0.0001270008216845327
95,-0.00015992057952862233
96,-0.00010499172604125483
97,-3.651252685646031e-05
98,-3.2018015260370805e-20
99,3.901616250058381e-06
100,0
