index,coefficient
0,1.6393231856371196e-05
1,1.8045962035311434e-05
2,-5.695443794375429e-20
3,-4.1619956366239744e-05
4,-9.284939764465766e-05
5,-0.00012081213308045559
6,-8.66892294192623e-05
7,2.938767514742438e-05
8,0.00020319611735279317
9,0.0003583262235959803
10,0.00038868799265152757
11,0.0002109272273449275
12,-0.00017346952583550618
13,-0.0006409012340769724
14,-0.0009659703645354108
15,-0.0009097734480707598
16,-0.0003500308500211986
17,0.000606702928637763
18,0.0016006280998163208
19,0.0021253993425271087
20,0.0017499744506705647
21,0.0003713137607278669
22,-0.001628470903407434
23,-0.003432425820952736
24,-0.004079879649218067
25,-0.0029143302531873085
26,3.3132698805858414e-18
27,0.003713891182717717
28,0.006629500162011086
29,0.007120115594838809
30,0.004320093789722835
31,-0.001262801672620962
32,-0.007653464054375701
33,-0.011999782011483877
34,-0.01172087422552288
35,-0.005794441883828929
36,0.004389260707319559
37,0.015096556177917615
38,0.021409132612821246
39,0.01918204937884044
40,0.007103812926676614
41,-0.012006510135899205
42,-0.03135085910774998
43,-0.0419417182894211
44,-0.035576669906147496
45,-0.008009651421734947
46,0.03886484717731314
47,0.09674201765700877
48,0.15283648908831424
49,0.1934970324531876
50,0.2083404271070948
51,0.1934970324531876
52,0.15283648908831424
53,0.09674201765700877
54,0.03886484717731314
55,-0.008009651421734947
56,-0.03557666990614747
57,-0.0419417182894211
58,-0.03135085910775
59,-0.012006510135899205
60,0.007103812926676614
61,0.01918204937884044
62,0.021409132612821246
63,0.015096556177917615
64,0.004389260707319559
65,-0.005794441883828929
66,-0.011720874225522876
67,-0.011999782011483877
68,-0.007653464054375695
69,-0.001262801672620962
70,0.004320093789722839
71,0.007120115594838817
72,0.006629500162011086
73,0.003713891182717717
74,3.3132698805858414e-18
75,-0.0029143302531873085
76,-0.004079879649218067
77,-0.003432425820952736
78,-0.001628470903407434
79,0.0003713137607278669
80,0.0017499744506705636
81,0.0021253993425271087
82,0.0016006280998163208
83,0.000606702928637763
84,-0.0003500308500211986
85,-0.0009097734480707598
86,-0.0009659703645354108
87,-0.0006409012340769724
88,-0.00017346952583550618
89,0.0002109272273449275
90,0.00038868799265152757
91,0.0003583262235959803
92,0.00020319611735279287
93,2.938767514742435e-05
94,-8.668922941926237e-05
95,-0.00012081213308045582
96,-9.284939764465783e-05
97,-4.1619956366239744e-05
98,-5.695443794375429e-20
99,1.8045962035311434e-05
100,1.6393231856371196e-05
