index,coefficient
0,0
1,-0.0016818830608630935
2,0
3,-0.0021825853511223043
4,0
5,-0.0031547938474612946
6,0
7,-0.0046780297403450815
8,0
9,-0.006842954367506377
10,0
11,-0.009758908358481044
12,0
13,-0.013566885922326306
14,0
15,-0.018462285281711312
16,0
17,-0.024736379751587493
18,0
19,-0.03285643950297731
20,0
21,-0.043633406412254806
22,0
23,-0.05861295506780647
24,0
25,-0.08113625750775397
26,0
27,-0.11994502243628996
28,0
29,-0.2072031902934527
30,0
31,-0.6327661711761489
32,0
33,0.6327661711761489
34,0
35,0.2072031902934527
36,0
37,0.11994502243628997
38,0
39,0.08113625750775398
40,0
41,0.058612955067806484
42,0
43,0.04363340641225481
44,0
45,0.03285643950297731
46,0
47,0.024736379751587493
48,0
49,0.018462285281711323
50,0
51,0.013566885922326313
52,0
53,0.009758908358481047
54,0
55,0.006842954367506376
56,0
57,0.004678029740345086
58,0
59,0.003154793847461296
60,0
61,0.0021825853511223043
62,0
63,0.0016818830608630935
64,0
