index,coefficient
0,0.00042327776547632307
1,0.000707593629171661
2,0.0007710423884028892
3,0.0005199360001693286
4,-1.3128729528457008e-18
5,-0.000601812784301223
6,-0.001028813932927176
7,-0.001080019790200368
8,-0.0007311864312994032
9,-0.00017559899260255766
10,0.0002633759515593696
11,0.00032413028627289596
12,-8.157077278331608e-19
13,-0.0003999396198271299
14,-0.0004005342784420506
15,0.00032837750629444623
16,0.0016753135864154465
17,0.0030164642990301487
18,0.0034789505998248735
19,0.002442549601350587
20,-4.519501475587151e-18
21,-0.002937707965176752
22,-0.0050328834884636854
23,-0.005249780229985035
24,-0.003508374642406754
25,-0.0008276503507128167
26,0.0012152137790457955
27,0.0014607234068499304
28,-2.390558265147004e-18
29,-0.001714052376226507
30,-0.0016736650269640852
31,0.001338535546597601
32,0.006667566899011397
33,0.0117353542522431
34,0.013249053464634439
35,0.009120369501000685
36,-9.945058281820125e-18
37,-0.010602249812210416
38,-0.017910932086007927
39,-0.018463083819650866
40,-0.01222214547812875
41,-0.00286324385399779
42,0.004186131789565157
43,0.005025273274682765
44,-4.120036244843847e-18
45,-0.005940989263754581
46,-0.00585680891496507
47,0.004750904408112
48,0.024130743121153493
49,0.04357687817104671
50,0.05085367014500707
51,0.03651304772707488
52,-1.3999241990256877e-17
53,-0.04791325239060804
54,-0.08828902101262111
55,-0.10193091797494516
56,-0.07856680003120176
57,-0.022808860852247988
58,0.046373541982818116
59,0.10292596571621154
60,0.1246655923545293
61,0.10292596571621154
62,0.046373541982818116
63,-0.022808860852247988
64,-0.07856680003120176
65,-0.10193091797494516
66,-0.08828902101262112
67,-0.04791325239060804
68,-1.3999241990256877e-17
69,0.036513047727074886
70,0.05085367014500708
71,0.04357687817104672
72,0.024130743121153497
73,0.004750904408112
74,-0.00585680891496507
75,-0.005940989263754582
76,-4.120036244843848e-18
77,0.005025273274682766
78,0.004186131789565158
79,-0.0028632438539977906
80,-0.012222145478128756
81,-0.01846308381965087
82,-0.017910932086007934
83,-0.010602249812210413
84,-9.945058281820129e-18
85,0.009120369501000685
86,0.013249053464634444
87,0.0117353542522431
88,0.006667566899011402
89,0.0013385355465976008
90,-0.0016736650269640859
91,-0.0017140523762265065
92,-2.390558265147005e-18
93,0.0014607234068499308
94,0.0012152137790457952
95,-0.0008276503507128164
96,-0.0035083746424067553
97,-0.0052497802299850405
98,-0.00503288348846369
99,-0.0029377079651767527
100,-4.519501475587151e-18
101,0.002442549601350589
102,0.0034789505998248744
103,0.003016464299030153
104,0.0016753135864154463
105,0.00032837750629444634
106,-0.0004005342784420506
107,-0.0003999396198271302
108,-8.15707727833161e-19
109,0.00032413028627289645
110,0.0002633759515593695
111,-0.00017559899260255775
112,-0.0007311864312994029
113,-0.0010800197902003685
114,-0.001028813932927176
115,-0.000601812784301223
116,-1.3128729528457008e-18
117,0.0005199360001693289
118,0.0007710423884028892
119,0.000707593629171661
120,0.00042327776547632307
