index,coefficient
0,-4.2260593215211077e-19
1,2.0299496883759086e-05
2,2.271488864418268e-05
3,-2.045742936528174e-05
4,-0.00011316131742215588
5,-0.00021864533199726156
6,-0.0002683624473670197
7,-0.00019915634496333324
8,-1.1619405813244147e-18
9,0.0002633486444046643
10,0.00047002312332473044
11,0.0005089670603977408
12,0.000352009719905256
13,8.570354438979819e-05
14,-0.00012954758331300864
15,-0.0001599501844730438
16,-3.756411637001726e-18
17,0.00019680879987789282
18,0.0001962236729201113
19,-0.0001599531409784574
20,-0.0008106743574449346
21,-0.0014492258246064573
22,-0.0016589334526349389
23,-0.0011558294037342402
24,-4.9518151799975726e-18
25,0.001368873487268385
26,0.0023273444871205456
27,0.0024094394810309622
28,0.0015982928532462868
29,0.0003742941962445489
30,-0.0005455890072100205
31,-0.0006510957262782959
32,-1.1107826797076243e-17
33,0.000753020808167948
34,0.0007298752988002203
35,-0.0005793420290232554
36,-0.0028634863140839604
37,-0.004999316780421828
38,-0.00559645503718064
39,-0.003818036300932403
40,-1.1454381282904518e-17
41,0.0043510308682716044
42,0.007268914838475684
43,0.0074024703103984235
44,0.004835361112247827
45,0.0011162186468317758
46,-0.001605505042309925
47,-0.001892537603724849
48,-2.1283118351770168e-17
49,0.0021421490689871063
50,0.0020572673856294665
51,-0.0016197215693478768
52,-0.00794952084116328
53,-0.013797217161822943
54,-0.01537251349401139
55,-0.010451179415150166
56,-1.8772223834181182e-17
57,0.011875856855325509
58,0.019855472217299323
59,0.020269231671281588
60,0.01329585299696435
61,0.0030882824491912054
62,-0.004479256216227334
63,-0.005337308522100275
64,-3.0419923584147016e-17
65,0.006226344848105275
66,0.00610186369896269
67,-0.004922772721123876
68,-0.024879125488042216
69,-0.044724421760438296
70,-0.051978451688263164
71,-0.03718306418547768
72,-2.3682413687431747e-17
73,0.048493091476534744
74,0.08913642418727435
75,0.10269487468774055
76,0.07902126557649587
77,0.022910601425432536
78,-0.046536701629946324
79,-0.10323005316276017
80,0.8750735092625268
81,-0.10323005316276017
82,-0.046536701629946324
83,0.022910601425432536
84,0.07902126557649587
85,0.10269487468774055
86,0.08913642418727435
87,0.048493091476534744
88,-2.3682413687431747e-17
89,-0.03718306418547768
90,-0.051978451688263164
91,-0.044724421760438296
92,-0.024879125488042216
93,-0.004922772721123876
94,0.00610186369896269
95,0.006226344848105275
96,-3.0419923584147016e-17
97,-0.005337308522100275
98,-0.004479256216227334
99,0.0030882824491912054
100,0.01329585299696435
101,0.020269231671281588
102,0.019855472217299323
103,0.011875856855325509
104,-1.8772223834181182e-17
105,-0.010451179415150166
106,-0.01537251349401139
107,-0.013797217161822943
108,-0.00794952084116328
109,-0.0016197215693478768
110,0.0020572673856294665
111,0.0021421490689871063
112,-2.1283118351770178e-17
113,-0.001892537603724849
114,-0.001605505042309925
115,0.0011162186468317758
116,0.004835361112247827
117,0.0074024703103984235
118,0.007268914838475684
119,0.0043510308682716044
120,-1.1454381282904518e-17
121,-0.003818036300932403
122,-0.005596455037180644
123,-0.004999316780421828
124,-0.0028634863140839604
125,-0.0005793420290232554
126,0.0007298752988002203
127,0.0007530208081679492
128,-1.1107826797076234e-17
129,-0.0006510957262782959
130,-0.0005455890072100205
131,0.0003742941962445489
132,0.0015982928532462886
133,0.0024094394810309622
134,0.0023273444871205456
135,0.001368873487268385
136,-4.9518151799975726e-18
137,-0.0011558294037342402
138,-0.0016589334526349389
139,-0.0014492258246064573
140,-0.0008106743574449346
141,-0.0001599531409784574
142,0.00019622367292011151
143,0.0001968087998778927
144,-3.756411637001726e-18
145,-0.0001599501844730438
146,-0.00012954758331300864
147,8.57035443897983e-05
148,0.00035200971990525555
149,0.0005089670603977408
150,0.00047002312332473044
151,0.0002633486444046643
152,-1.1619405813244163e-18
153,-0.00019915634496333294
154,-0.0002683624473670197
155,-0.00021864533199726156
156,-0.00011316131742215588
157,-2.0457429365281774e-05
158,2.2714888644182643e-05
159,2.0299496883759086e-05
160,-4.2260593215211077e-19
