index,coefficient
0,0.15292701657489383
1,-0.30585403314978765
2,0.15292701657489383
3,-0.922331983636288
4,0.21871197206649814
5,1
6,-2
7,1
8,-0.9806534131613481
9,0.2957742724651059
10,1
11,-2
12,1
13,-1.1103897655829267
14,0.4671997989713683
15,1
16,-2
17,1
18,-1.3424331240863878
19,0.7738074240607349
