index,coefficient
0,0.0035496141351254334
1,-0.0037700821089239702
2,0.0035496141351254325
3,-1.7499919300028963
4,0.9181576332403868
5,1
6,-1.9838143060322633
7,0.9999999999999999
8,-1.8330179498126218
9,0.935305043150858
10,1
11,-1.638101774122066
12,1
13,-1.7202222975044514
14,0.9558984126467797
15,1
16,-1.950578918849205
17,0.9999999999999999
18,-1.8992393508889907
19,0.9744292966329199
20,1
21,-1.6922808830352893
22,1.0000000000000002
23,-1.7225817023307497
24,0.9887486314641063
25,1
26,-1.9411526887061592
27,1.0000000000000002
28,-1.9261310335663682
29,0.9941541123016373
